epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.078971,0.123898,0.034044,0.038415,0.064116,0.012714,-17.87,0.0001,2025-08-21T21:16:27
2,0.062620,0.098240,0.026999,0.032700,0.053624,0.011777,-19.44,0.0001,2025-08-21T21:17:26
3,0.051361,0.080859,0.021863,0.027979,0.046225,0.009734,-20.52,0.0001,2025-08-21T21:18:28
4,0.046085,0.072322,0.019847,0.028816,0.047147,0.010485,-20.35,0.0001,2025-08-21T21:19:30
5,0.039785,0.062232,0.017338,0.028500,0.047105,0.009896,-20.42,0.0001,2025-08-21T21:20:23
6,0.033656,0.052759,0.014553,0.027743,0.046152,0.009335,-20.64,0.0001,2025-08-21T21:21:16
7,0.029479,0.046134,0.012823,0.029019,0.047788,0.010250,-20.15,0.0001,2025-08-21T21:22:17
8,0.026858,0.042161,0.011554,0.030722,0.050592,0.010852,-19.78,0.0001,2025-08-21T21:23:11
9,0.024006,0.037639,0.010373,0.028846,0.047526,0.010167,-20.09,0.0001,2025-08-21T21:24:04
10,0.022693,0.035532,0.009854,0.029955,0.049169,0.010741,-19.94,0.0001,2025-08-21T21:24:58
11,0.020096,0.031532,0.008661,0.029085,0.047763,0.010408,-20.04,0.0001,2025-08-21T21:25:52
12,0.019123,0.029941,0.008305,0.029142,0.047769,0.010515,-19.98,5e-05,2025-08-21T21:26:46
13,0.015019,0.023465,0.006572,0.028723,0.047334,0.010111,-20.00,5e-05,2025-08-21T21:27:40
14,0.013599,0.021217,0.005981,0.029349,0.048298,0.010399,-19.84,5e-05,2025-08-21T21:28:33
15,0.013645,0.021326,0.005964,0.029675,0.048789,0.010561,-19.74,5e-05,2025-08-21T21:29:28
16,0.013752,0.021531,0.005973,0.030037,0.049436,0.010638,-19.70,5e-05,2025-08-21T21:30:22
