epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.036761,0.058002,0.015521,0.026368,0.044375,0.008360,-18.58,0.0001,2025-08-21T22:02:01
2,0.027283,0.042993,0.011573,0.026752,0.045068,0.008436,-18.69,0.0001,2025-08-21T22:03:01
3,0.023370,0.036800,0.009939,0.025605,0.042760,0.008449,-18.56,0.0001,2025-08-21T22:03:54
4,0.020845,0.032845,0.008845,0.026280,0.043571,0.008989,-18.46,0.0001,2025-08-21T22:04:56
5,0.018624,0.029213,0.008035,0.027390,0.045498,0.009281,-18.22,0.0001,2025-08-21T22:05:50
6,0.017474,0.027541,0.007407,0.027324,0.045394,0.009254,-18.33,0.0001,2025-08-21T22:06:44
7,0.016091,0.025321,0.006862,0.027388,0.045411,0.009365,-18.06,0.0001,2025-08-21T22:07:37
8,0.015533,0.024494,0.006573,0.027746,0.045991,0.009502,-18.03,0.0001,2025-08-21T22:08:31
9,0.014236,0.022424,0.006047,0.027382,0.045396,0.009368,-18.07,5e-05,2025-08-21T22:09:24
10,0.010980,0.017332,0.004629,0.027109,0.045028,0.009190,-18.13,5e-05,2025-08-21T22:10:18
11,0.010203,0.016093,0.004314,0.027161,0.044931,0.009392,-18.02,5e-05,2025-08-21T22:11:12
12,0.010175,0.016038,0.004311,0.026724,0.044208,0.009241,-18.09,5e-05,2025-08-21T22:12:05
13,0.009701,0.015335,0.004067,0.026741,0.044211,0.009270,-18.03,5e-05,2025-08-21T22:12:59
